,uid,title,time,source,time-capture,sc,domain,full-text,sc2,geo
0,90c2b90f-4fa6-4f9d-a077-6c049f0bbcd3,"""The most problematic situation today is in the south. Our forces are engaging in fiery battles on the outskirts of Kherson, the enemy coming from occupied Crimea is trying to push towards Melitopol,"" says Zelensky",8 minutes ago,https://twitter.com/maxseddon/status/1496884512244080640,2022-02-24 11:35:14.369812,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cmVjdCB4PSItNTkuMyIgeT0iNDkuMDA1IiBmaWxsPSIjMDEwMTAxIiB3aWR0aD0iMC4yNDQiIGhlaWdodD0iMC4yMjEiLz4gPHBvbHlnb24gZmlsbD0iIzAxMDEwMSIgcG9pbnRzPSItNTMuNzM4LDUyLjEwOCAtNTMuNzQ2LDUyLjExNSAtNTMuNzQ2LDUyLjEwOCAiLz4gPHBvbHlnb24gZmlsbD0iIzAxMDEwMSIgcG9pbnRzPSItNTMuNzM4LDUyLjEwOCAtNTMuNzQ2LDUyLjExNSAtNTMuNzQ2LDUyLjEwOCAiLz4gPHBvbHlnb24gZmlsbD0iI0ZGRkZGRiIgcG9pbnRzPSI3NS4wMjEsMzEuOSA3OS4zNSwyOS41ODQgNzkuMTUxLDI5LjIxNSA3OS4xNjIsMjcuOTQxIDc4LjcxOCwyNS44NzEgNzkuNzcsMjUuMzA3IDgxLjQ1NiwyOC40NTggODIuNDU3LDI3LjkyMSA4Mi45NTcsMjguODUzIDgxLjk1NSwyOS4zODggODIuNDE4LDMwLjI1MyA3NS45ODUsMzMuNjk2IDc2LjEwOSwzMy45MyA3My4yNjMsMzUuNDU0IDczLjEzOSwzNS4yMjMgNjguMTI4LDM3LjkwMiA2Ni45MzgsMzUuNjc1IDY2LjcwOSwzNS4yNTEgNjYuMTYyLDM0LjIzMSA3MS44OTYsMzEuMTYzICIvPiA8cGF0aCBmaWxsPSIjRkZGRkZGIiBkPSJNMTkuNzg0LDY1LjcyNGw1LjgyNSw3LjA1MWwxMS4zNjItMTUuNDk5bC0wLjAwNS0wLjAwM2wxLjY4OC0wLjk5MWwwLjUzMSwwLjk5MWwwLjAwOS0wLjAwNWwxLjE1MywxLjE5NyBsMC4yMTMsNC42MzFsMi4xOTIsMC41OWwxLjg4Mi0xLjAwOEw0My45MjUsNjEuMWwwLjAzMy01LjU0MmwwLjc3OSwwLjMwOGwyLjg3LTEuNTM3bDAuMTc2LTAuNzk1bC0xLjA2OS0xLjk5OWwwLjE0Mi0wLjA3NyBsMC44NzcsMS42MzZsMC44NTctMC40NTZsMC4xOTUtMC4xMDRsMC40NDQtMC4yMzdsLTAuODc1LTEuNjM5bDAuMDIyLTAuMDExbDAuNDE2LTAuNjQzYzQuOTI4LDcuNTA0LDE0LjQsNy45MjMsMTQuNCw3LjkyMyBsMC40OTItNC44MzRjMCwwLTYuOTg1LTAuMDI2LTEwLjYyMy01LjM4MmwzLjQ2LTEuODUzbC0xLjQ1NC0yLjcxN2wwLjIxNS0wLjEyMWwxLjMxLDIuNDQ4bDAuODMzLDAuMjUybDEuMTk1LTAuNjQxbDguOTk2LTYuMjgzIGwtMC4wMzEtMC4wNjFsMC4xMi0wLjYwNWwtMS45NjUtMy42NzJsLTAuNTIxLTAuMTM5bC0wLjAyNC0wLjA0OGwtOC40MzgsNC41MTVsLTAuNDIzLTAuMjY0bC00LjcxMiwyLjUyNGwtMC4zNjEsMS4xNjQgbC0xNC40OTgsNy43NjFsLTAuMDg3LDEuODYzbC0wLjYwMSwwLjMyNGwwLjIxMSwxLjQ3M2wwLjIxOCwwLjQxMmgtMC4wMDFsMC4wMDEsMC4wMDRsLTEuNTAzLDAuODYxbC0wLjAwOC0wLjAxNmwtMy43NTIsMi45NCBsLTEuOTI3LDAuMTZMMTkuNzg0LDY1LjcyNHogTTQzLjI5MSw1My42NjZsMC44NzEsMC4xMWwwLjg0OSwwLjY5NGwwLjgzLDAuMTM3bDAuMDk0LTAuMzEzbC0wLjgxNS0wLjEyM2wtMC43ODItMC42ODhsMC4zNzItMC42MjUgbC0wLjEwNi0wLjE5NWwxLjg0NS0wLjk5MWwwLjk5OSwxLjg2OGwtMC4xNTIsMC42ODRsLTIuNDcsMS4zMjJsLTAuNjctMC4yNjdMNDMuMjkxLDUzLjY2NnoiLz4gPC9nPjwvc3ZnPg==","SourceOn live map
Tell friends
8 minutes ago - 46°45′N 35°15′E
""The most problematic situation today is in the south. Our forces are engaging in fiery battles on the outskirts of Kherson, the enemy coming from occupied Crimea is trying to push towards Melitopol,"" says Zelensky
Jump to map
Melitopol
#Europe#Central and Eastern Europe
Watch more
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Israel-Palestine
Rocket impact in Sderot earlier this evening
Show comments",False,46°45′N 35°15′E
1,3e541bb0-6ba8-45fe-81a9-c220d885bbd4,The Hostomel Airfield just North of Kyiv which was captured by Russian VDV earlier is currently under Heavy Counter-attack by the 4th Rapid Response Brigade of the National Guard of Ukraine who have been ordered to retake the Airfield,10 minutes ago,https://twitter.com/sentdefender/status/1496884008436703232,2022-02-24 11:35:18.914362,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cmVjdCB4PSItNTkuMyIgeT0iNDkuMDA1IiBmaWxsPSIjMDEwMTAxIiB3aWR0aD0iMC4yNDQiIGhlaWdodD0iMC4yMjEiLz4gPHBvbHlnb24gZmlsbD0iIzAxMDEwMSIgcG9pbnRzPSItNTMuNzM4LDUyLjEwOCAtNTMuNzQ2LDUyLjExNSAtNTMuNzQ2LDUyLjEwOCAiLz4gPHBvbHlnb24gZmlsbD0iIzAxMDEwMSIgcG9pbnRzPSItNTMuNzM4LDUyLjEwOCAtNTMuNzQ2LDUyLjExNSAtNTMuNzQ2LDUyLjEwOCAiLz4gPHBvbHlnb24gZmlsbD0iI0ZGRkZGRiIgcG9pbnRzPSI3NS4wMjEsMzEuOSA3OS4zNSwyOS41ODQgNzkuMTUxLDI5LjIxNSA3OS4xNjIsMjcuOTQxIDc4LjcxOCwyNS44NzEgNzkuNzcsMjUuMzA3IDgxLjQ1NiwyOC40NTggODIuNDU3LDI3LjkyMSA4Mi45NTcsMjguODUzIDgxLjk1NSwyOS4zODggODIuNDE4LDMwLjI1MyA3NS45ODUsMzMuNjk2IDc2LjEwOSwzMy45MyA3My4yNjMsMzUuNDU0IDczLjEzOSwzNS4yMjMgNjguMTI4LDM3LjkwMiA2Ni45MzgsMzUuNjc1IDY2LjcwOSwzNS4yNTEgNjYuMTYyLDM0LjIzMSA3MS44OTYsMzEuMTYzICIvPiA8cGF0aCBmaWxsPSIjRkZGRkZGIiBkPSJNMTkuNzg0LDY1LjcyNGw1LjgyNSw3LjA1MWwxMS4zNjItMTUuNDk5bC0wLjAwNS0wLjAwM2wxLjY4OC0wLjk5MWwwLjUzMSwwLjk5MWwwLjAwOS0wLjAwNWwxLjE1MywxLjE5NyBsMC4yMTMsNC42MzFsMi4xOTIsMC41OWwxLjg4Mi0xLjAwOEw0My45MjUsNjEuMWwwLjAzMy01LjU0MmwwLjc3OSwwLjMwOGwyLjg3LTEuNTM3bDAuMTc2LTAuNzk1bC0xLjA2OS0xLjk5OWwwLjE0Mi0wLjA3NyBsMC44NzcsMS42MzZsMC44NTctMC40NTZsMC4xOTUtMC4xMDRsMC40NDQtMC4yMzdsLTAuODc1LTEuNjM5bDAuMDIyLTAuMDExbDAuNDE2LTAuNjQzYzQuOTI4LDcuNTA0LDE0LjQsNy45MjMsMTQuNCw3LjkyMyBsMC40OTItNC44MzRjMCwwLTYuOTg1LTAuMDI2LTEwLjYyMy01LjM4MmwzLjQ2LTEuODUzbC0xLjQ1NC0yLjcxN2wwLjIxNS0wLjEyMWwxLjMxLDIuNDQ4bDAuODMzLDAuMjUybDEuMTk1LTAuNjQxbDguOTk2LTYuMjgzIGwtMC4wMzEtMC4wNjFsMC4xMi0wLjYwNWwtMS45NjUtMy42NzJsLTAuNTIxLTAuMTM5bC0wLjAyNC0wLjA0OGwtOC40MzgsNC41MTVsLTAuNDIzLTAuMjY0bC00LjcxMiwyLjUyNGwtMC4zNjEsMS4xNjQgbC0xNC40OTgsNy43NjFsLTAuMDg3LDEuODYzbC0wLjYwMSwwLjMyNGwwLjIxMSwxLjQ3M2wwLjIxOCwwLjQxMmgtMC4wMDFsMC4wMDEsMC4wMDRsLTEuNTAzLDAuODYxbC0wLjAwOC0wLjAxNmwtMy43NTIsMi45NCBsLTEuOTI3LDAuMTZMMTkuNzg0LDY1LjcyNHogTTQzLjI5MSw1My42NjZsMC44NzEsMC4xMWwwLjg0OSwwLjY5NGwwLjgzLDAuMTM3bDAuMDk0LTAuMzEzbC0wLjgxNS0wLjEyM2wtMC43ODItMC42ODhsMC4zNzItMC42MjUgbC0wLjEwNi0wLjE5NWwxLjg0NS0wLjk5MWwwLjk5OSwxLjg2OGwtMC4xNTIsMC42ODRsLTIuNDcsMS4zMjJsLTAuNjctMC4yNjdMNDMuMjkxLDUzLjY2NnoiLz4gPC9nPjwvc3ZnPg==","SourceOn live map
Tell friends
10 minutes ago - 50°35′N 30°11′E
The Hostomel Airfield just North of Kyiv which was captured by Russian VDV earlier is currently under Heavy Counter-attack by the 4th Rapid Response Brigade of the National Guard of Ukraine who have been ordered to retake the Airfield
Jump to map
Ukraine
#Russia
Watch more
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Israel-Palestine
Rocket impact in Sderot earlier this evening
Show comments",False,50°35′N 30°11′E
