,uid,title,time,source,time-capture,sc,domain,full-text,sc2,geo
0,2a946edc-3d58-4947-b46e-a71a77294c85,NATO Secretary General: The killing of civilians in Bucha is appalling and unacceptable,a minute ago,https://twitter.com/AlArabiya_Brk/status/1510609256860561413,2022-04-03 09:28:50.230299,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cGF0aCBmaWxsPSJub25lIiBkPSJNNjMuMjE1LDM2Ljc3N2MtMS4xMjgsMC4xODUtMS4zNjQsNC42MDMtMC41MzgsOS44NDhjMC44NDQsNS4yNiwyLjQyOSw5LjM5MywzLjU1OCw5LjIwOCBjMS4xMy0wLjE4NiwxLjM2Ni00LjU4NywwLjU0MS05Ljg0OEM2NS45NDcsNDAuNzIzLDY0LjM0NiwzNi42MDgsNjMuMjE1LDM2Ljc3N3oiLz4gPHBhdGggZmlsbD0iI0ZGRkZGRiIgZD0iTTc1LjIyNiw0NC40Yy0xLjcyMi0xMC44NzctNi41NDUtMTkuMTczLTEwLjc0MS0xOC40OThjLTEuODU3LDAuMjg1LTMuMjksMi4yNTgtNC4xNjgsNS4yOTQgYy0xLjgyLDEuNjE4LTQuNjAzLDMuMzA0LTcuNzcxLDQuOTA2bDEuNzM0LDMuNTQxbDUuMzk2LTIuNjQ3Yy0wLjE1MiwwLjc0My0wLjI3LDEuNTg1LTAuMzM3LDIuNDk4IGMwLjAxNywyLjMwOSwwLjIxOSw0Ljc3MSwwLjYyMyw3LjMxN2MwLjQzOSwyLjc5OSwxLjA4LDUuNDMsMS44NzMsNy43NTdjMC4yNzEsMC41NTYsMC41NTgsMS4wNDYsMC44NTksMS40NjdsLTcuMjgyLTAuNjkgbC0wLjMwNCwzLjIzNmMzLjY1OCwwLjQyMyw3LjA0NiwxLjE4LDkuNjYxLDIuNDI5YzEuODU0LDIuOTY4LDMuOTY0LDQuNjQsNS45NSw0LjMxN0M3NC45MjIsNjQuNjY5LDc2Ljk0NCw1NS4yOTMsNzUuMjI2LDQ0LjR6IE02Ni4yMzQsNTUuODMyYy0xLjEyOSwwLjE4Ni0yLjcxNC0zLjk0Ny0zLjU1OC05LjIwOGMtMC44MjYtNS4yNDUtMC41OS05LjY2MywwLjUzOC05Ljg0OGMxLjEzMS0wLjE2OCwyLjczMiwzLjk0NiwzLjU2MSw5LjIwOCBDNjcuNjAxLDUxLjI0NSw2Ny4zNjQsNTUuNjQ2LDY2LjIzNCw1NS44MzJ6Ii8+IDxwYXRoIGZpbGw9IiNGRkZGRkYiIGQ9Ik01MS4xNiwzNi43NzhsLTEuNTUyLDAuNzQyYy03Ljg3NCwzLjY0Mi0xNi45MTMsNi42NjEtMTkuNDI2LDcuNTA0Yy0wLjAzMywwLjAxNy0wLjA1LDAuMDE3LTAuMDg0LDAuMDE3IGMtMy40NzMsMC41NC01LjkzNiwzLjUyNC01LjkzNiw2LjkzYzAsMC4zNTQsMC4wMzQsMC43MjYsMC4wODQsMS4wOTdjMC42MDgsMy43NzcsNC4xMzEsNi4zOSw3LjkyNSw1Ljg1MWwxLjYwMyw5LjI2IGMwLjI4NiwwLjgwOCwxLjAyOCwxLjkzOCwyLjcxNCwxLjY1MWwzLjMzOS0wLjI4N2MxLjY4Ni0wLjMwNCwxLjkzOS0xLjAyOSwxLjY1My0yLjcxNmwtMS40LTguNTgyIGMzLjk5Ni0wLjE4OCw4Ljg1My0wLjI1NiwxMy40NTcsMC4xNjdjMC41MjEsMC4wNTEsMS4wNjMsMC4xMDMsMS41NjcsMC4xNjlsMC4zMDQtMy4yMzZsLTEuNTY3LTAuMTUyTDQzLjQ3LDU0LjIxMyBjMCwwLDAsMC0wLjAxOCwwLjAwMWMtMS4wOTYsMC4wODUtMi4xNzYtMC41NC0yLjktMS41ODRjLTAuNDM4LTAuNjI1LTAuNzU4LTEuNC0wLjg5NC0yLjI2MWMtMC4wNS0wLjMwMy0wLjA2Ni0wLjU4OC0wLjA2Ni0wLjg3NSBjMC0wLjQ1NiwwLjA1LTAuODk0LDAuMTY3LTEuMjk5YzAuMzU1LTEuMzk5LDEuMjgyLTIuNDQ1LDIuNDk3LTIuNjQ4bDkuMTA2LTQuNDdsMi45MTctMS40MzNsLTEuNzM2LTMuNTQxIEM1Mi4wODgsMzYuMzIzLDUxLjYzMSwzNi41Niw1MS4xNiwzNi43Nzh6Ii8+IDwvZz48L3N2Zz4=","SourceOn live map
Tell friends
a minute ago - 50°52′N 4°25′E
NATO Secretary General: The killing of civilians in Bucha is appalling and unacceptable
Jump to map
Brussel, Brussels Hoofdstedelijk Gewest
#Russia
Other languages:
Русский Українська Белару́ская Polski العربية
Watch more
Ukraine
Kharkiv: air strike targeted a building at Mirnositska street
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Show comments",False,50°52′N 4°25′E
1,a01f123b-b546-4c19-bc19-abc7a24bc3c7,"NATO Secretary General: What we are witnessing in Ukraine is not a withdrawal of Russian forces, but a repositioning, the Russian offensive continues",3 minutes ago,https://twitter.com/AlainBRK/status/1510609032792489986,2022-04-03 09:28:54.856243,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cGF0aCBmaWxsPSJub25lIiBkPSJNNjMuMjE1LDM2Ljc3N2MtMS4xMjgsMC4xODUtMS4zNjQsNC42MDMtMC41MzgsOS44NDhjMC44NDQsNS4yNiwyLjQyOSw5LjM5MywzLjU1OCw5LjIwOCBjMS4xMy0wLjE4NiwxLjM2Ni00LjU4NywwLjU0MS05Ljg0OEM2NS45NDcsNDAuNzIzLDY0LjM0NiwzNi42MDgsNjMuMjE1LDM2Ljc3N3oiLz4gPHBhdGggZmlsbD0iI0ZGRkZGRiIgZD0iTTc1LjIyNiw0NC40Yy0xLjcyMi0xMC44NzctNi41NDUtMTkuMTczLTEwLjc0MS0xOC40OThjLTEuODU3LDAuMjg1LTMuMjksMi4yNTgtNC4xNjgsNS4yOTQgYy0xLjgyLDEuNjE4LTQuNjAzLDMuMzA0LTcuNzcxLDQuOTA2bDEuNzM0LDMuNTQxbDUuMzk2LTIuNjQ3Yy0wLjE1MiwwLjc0My0wLjI3LDEuNTg1LTAuMzM3LDIuNDk4IGMwLjAxNywyLjMwOSwwLjIxOSw0Ljc3MSwwLjYyMyw3LjMxN2MwLjQzOSwyLjc5OSwxLjA4LDUuNDMsMS44NzMsNy43NTdjMC4yNzEsMC41NTYsMC41NTgsMS4wNDYsMC44NTksMS40NjdsLTcuMjgyLTAuNjkgbC0wLjMwNCwzLjIzNmMzLjY1OCwwLjQyMyw3LjA0NiwxLjE4LDkuNjYxLDIuNDI5YzEuODU0LDIuOTY4LDMuOTY0LDQuNjQsNS45NSw0LjMxN0M3NC45MjIsNjQuNjY5LDc2Ljk0NCw1NS4yOTMsNzUuMjI2LDQ0LjR6IE02Ni4yMzQsNTUuODMyYy0xLjEyOSwwLjE4Ni0yLjcxNC0zLjk0Ny0zLjU1OC05LjIwOGMtMC44MjYtNS4yNDUtMC41OS05LjY2MywwLjUzOC05Ljg0OGMxLjEzMS0wLjE2OCwyLjczMiwzLjk0NiwzLjU2MSw5LjIwOCBDNjcuNjAxLDUxLjI0NSw2Ny4zNjQsNTUuNjQ2LDY2LjIzNCw1NS44MzJ6Ii8+IDxwYXRoIGZpbGw9IiNGRkZGRkYiIGQ9Ik01MS4xNiwzNi43NzhsLTEuNTUyLDAuNzQyYy03Ljg3NCwzLjY0Mi0xNi45MTMsNi42NjEtMTkuNDI2LDcuNTA0Yy0wLjAzMywwLjAxNy0wLjA1LDAuMDE3LTAuMDg0LDAuMDE3IGMtMy40NzMsMC41NC01LjkzNiwzLjUyNC01LjkzNiw2LjkzYzAsMC4zNTQsMC4wMzQsMC43MjYsMC4wODQsMS4wOTdjMC42MDgsMy43NzcsNC4xMzEsNi4zOSw3LjkyNSw1Ljg1MWwxLjYwMyw5LjI2IGMwLjI4NiwwLjgwOCwxLjAyOCwxLjkzOCwyLjcxNCwxLjY1MWwzLjMzOS0wLjI4N2MxLjY4Ni0wLjMwNCwxLjkzOS0xLjAyOSwxLjY1My0yLjcxNmwtMS40LTguNTgyIGMzLjk5Ni0wLjE4OCw4Ljg1My0wLjI1NiwxMy40NTcsMC4xNjdjMC41MjEsMC4wNTEsMS4wNjMsMC4xMDMsMS41NjcsMC4xNjlsMC4zMDQtMy4yMzZsLTEuNTY3LTAuMTUyTDQzLjQ3LDU0LjIxMyBjMCwwLDAsMC0wLjAxOCwwLjAwMWMtMS4wOTYsMC4wODUtMi4xNzYtMC41NC0yLjktMS41ODRjLTAuNDM4LTAuNjI1LTAuNzU4LTEuNC0wLjg5NC0yLjI2MWMtMC4wNS0wLjMwMy0wLjA2Ni0wLjU4OC0wLjA2Ni0wLjg3NSBjMC0wLjQ1NiwwLjA1LTAuODk0LDAuMTY3LTEuMjk5YzAuMzU1LTEuMzk5LDEuMjgyLTIuNDQ1LDIuNDk3LTIuNjQ4bDkuMTA2LTQuNDdsMi45MTctMS40MzNsLTEuNzM2LTMuNTQxIEM1Mi4wODgsMzYuMzIzLDUxLjYzMSwzNi41Niw1MS4xNiwzNi43Nzh6Ii8+IDwvZz48L3N2Zz4=","SourceOn live map
Tell friends
3 minutes ago - 50°52′N 4°25′E
NATO Secretary General: What we are witnessing in Ukraine is not a withdrawal of Russian forces, but a repositioning, the Russian offensive continues
Jump to map
Brussel, Brussels Hoofdstedelijk Gewest
#Russia
Other languages:
Русский Українська Белару́ская Polski العربية
Watch more
Ukraine
Kharkiv: air strike targeted a building at Mirnositska street
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Show comments",False,50°52′N 4°25′E
