,uid,title,time,source,time-capture,sc,domain,full-text,sc2,geo
0,fbdc8a26-3e27-4c1b-8e15-d9d85c51fc9c,People in Ukraine's Kharkiv sleeping in the subway as battles rage above ground,8 minutes ago,https://twitter.com/BNONews/status/1496951103191146496,2022-02-24 15:59:54.591951,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cGF0aCBmaWxsPSIjRkZGRkZGIiBkPSJNNzIuNzIsNDEuNjg0YzEuMTEtMS4yODksMS43ODctMi45NjIsMS43ODctNC43OTJjMC0wLjA2OS0wLjAxNC0wLjEzNC0wLjAyMS0wLjIwMiBjMC4wMDgtMC4wNjgsMC4wMjEtMC4xMzcsMC4wMjEtMC4yMDhjMC00LjA1Ni0zLjI5OC03LjM1Ni03LjM1Ni03LjM1NmMtMC4wNjEsMC0wLjExNywwLjAxNC0wLjE3OSwwLjAxOCBjLTAuMDYxLTAuMDA0LTAuMTE2LTAuMDE4LTAuMTc5LTAuMDE4Yy00LjA1NiwwLTcuMzU2LDMuMy03LjM1Niw3LjM1NmMwLDAuMDcsMC4wMTUsMC4xMzcsMC4wMjEsMC4yMDQgYy0wLjAwOCwwLjA2OS0wLjAyMSwwLjEzNC0wLjAyMSwwLjIwNmMwLDEuOTU2LDAuNzcxLDMuNzI5LDIuMDE5LDUuMDQ3Yy0wLjUwNywwLjI0Mi0wLjk5NCwwLjUyMi0xLjQ2MSwwLjgyNyBjLTEuMTk1LTQuMTk2LTUuMDUzLTcuMjc5LTkuNjI2LTcuMjc5Yy0wLjA4MywwLTAuMTYzLDAuMDE4LTAuMjQ0LDAuMDI0Yy0wLjA4Mi0wLjAwNi0wLjE1OS0wLjAyNC0wLjI0My0wLjAyNCBjLTQuNTU3LDAtOC40MDUsMy4wNjMtOS42MTMsNy4yMzZjLTAuNjItMC4zOTktMS4yNzEtMC43NTEtMS45NTctMS4wNGMxLjExLTEuMjg5LDEuNzg3LTIuOTYyLDEuNzg3LTQuNzkyIGMwLTAuMDY5LTAuMDE1LTAuMTM0LTAuMDIxLTAuMjAzYzAuMDA3LTAuMDY4LDAuMDIxLTAuMTM3LDAuMDIxLTAuMjA4YzAtNC4wNTYtMy4zMDEtNy4zNTYtNy4zNTYtNy4zNTYgYy0wLjA2MywwLTAuMTE5LDAuMDE1LTAuMTc5LDAuMDE4Yy0wLjA2MS0wLjAwNC0wLjExOC0wLjAxOC0wLjE3OC0wLjAxOGMtNC4wNTYsMC03LjM1NiwzLjMwMS03LjM1Niw3LjM1NiBjMCwwLjA3LDAuMDE1LDAuMTM3LDAuMDIsMC4yMDRjLTAuMDA3LDAuMDY5LTAuMDIsMC4xMzQtMC4wMiwwLjIwNmMwLDEuOTU1LDAuNzcxLDMuNzI5LDIuMDE4LDUuMDQ3IGMtNC4zMjYsMi4wNzItNy4zMjEsNi40OTQtNy4zMjEsMTEuNTk5YzAsMS4zMDksMS4wNjIsMi4zNywyLjM3MSwyLjM3YzEuMzA5LDAsMi4zNy0xLjA2MSwyLjM3LTIuMzcgYzAtNC40NzUsMy42NDItOC4xMTYsOC4xMTgtOC4xMTZjMC4xMjksMCwwLjI1My0wLjAxNywwLjM3NS0wLjAzOGMwLjEyNCwwLjAyLDAuMjY1LDAuMDM4LDAuMzk0LDAuMDM4IGM0LjQ3NywwLDguMTM1LDMuNjQxLDguMTM1LDguMTE2YzAsMC4wMDIsMCwwLjAwNCwwLDAuMDA2Yy00LjY2NCwzLjAyMy04LjgyMSw4LjY5My04LjgyMSwxNS4xNzljMCwxLjc4MSwxLjQzOCwzLjIyNiwzLjIxOCwzLjIyNiBjMS43ODIsMCwzLjIyMy0xLjQ0NCwzLjIyMy0zLjIyNmMwLTYuMDkzLDQuOTU2LTExLjA1LDExLjA0OS0xMS4wNWMwLjE3NiwwLDAuMzQzLTAuMDI1LDAuNTEtMC4wNTMgYzAuMTY4LDAuMDI3LDAuMzM4LDAuMDUzLDAuNTEzLDAuMDUzYzYuMDkzLDAsMTEuMDUxLDQuOTU3LDExLjA1MSwxMS4wNWMwLDEuNzgxLDEuNDQzLDMuMjI2LDMuMjI1LDMuMjI2IGMxLjc4MywwLDMuMjI2LTEuNDQ0LDMuMjI2LTMuMjI2YzAtNi44NzgtMy45OTQtMTIuODM3LTkuNzc5LTE1LjY5NGMwLjI2Ni00LjIzNywzLjc5LTcuNjA2LDguMDkzLTcuNjA2IGMwLjEyOSwwLDAuMjUyLTAuMDE1LDAuMzc1LTAuMDM4YzAuMTI0LDAuMDIxLDAuMjQ4LDAuMDM4LDAuMzc2LDAuMDM4YzQuNDc5LDAsOC4xMTksMy42NDMsOC4xMTksOC4xMTYgYzAsMS4zMSwxLjA2MSwyLjM3LDIuMzcsMi4zN2MxLjMwOCwwLDIuMzY5LTEuMDYxLDIuMzY5LTIuMzdDODAuNjA0LDQ4LjIxMiw3Ny4zNDcsNDMuNjMxLDcyLjcyLDQxLjY4NHogTTM1LjM1NiwzNi44OTEgYzAsMS40NDMtMS4xNzQsMi42MTktMi42MTYsMi42MTljLTAuMDYyLDAtMC4xMTksMC4wMTMtMC4xNzksMC4wMTZjLTAuMDYxLTAuMDAzLTAuMTE4LTAuMDE2LTAuMTc4LTAuMDE2IGMtMS40NDMsMC0yLjYxNy0xLjE3Ni0yLjYxNy0yLjYxOWMwLTAuMDY5LTAuMDE2LTAuMTM1LTAuMDIxLTAuMjA0YzAuMDA2LTAuMDY4LDAuMDIxLTAuMTM2LDAuMDIxLTAuMjA3IGMwLTEuNDQzLDEuMTczLTIuNjE3LDIuNjE3LTIuNjE3YzAuMDYxLDAsMC4xMTgtMC4wMTQsMC4xNzgtMC4wMTdjMC4wNiwwLjAwNCwwLjExNywwLjAxNywwLjE3OSwwLjAxNyBjMS40NDMsMCwyLjYxNywxLjE3NCwyLjYxNywyLjYxN2MwLDAuMDcsMC4wMTYsMC4xMzYsMC4wMjEsMC4yMDJDMzUuMzczLDM2Ljc1MywzNS4zNTYsMzYuODE5LDM1LjM1NiwzNi44OTF6IE01My45MjksNDYuMDYgYzAsMS45NjUtMS41OTcsMy41NjQtMy41NjIsMy41NjRjLTAuMDgzLDAtMC4xNjIsMC4wMTgtMC4yNDQsMC4wMjNjLTAuMDgyLTAuMDA1LTAuMTYtMC4wMjMtMC4yNDUtMC4wMjMgYy0xLjk2MywwLTMuNTYyLTEuNi0zLjU2Mi0zLjU2NGMwLTAuMDk0LTAuMDE5LTAuMTgzLTAuMDI3LTAuMjc2YzAuMDA4LTAuMDk1LDAuMDI5LTAuMTg2LDAuMDI5LTAuMjgxIGMwLTEuOTY0LDEuNTk3LTMuNTYzLDMuNTYyLTMuNTYzYzAuMDgzLDAsMC4xNjEtMC4wMTcsMC4yNDMtMC4wMjRjMC4wODIsMC4wMDcsMC4xNjEsMC4wMjQsMC4yNDQsMC4wMjQgYzEuOTY1LDAsMy41NjMsMS41OTksMy41NjMsMy41NjNjMCwwLjA5NSwwLjAyMSwwLjE4MSwwLjAyNywwLjI3NkM1My45NSw0NS44NzIsNTMuOTI5LDQ1Ljk2Miw1My45MjksNDYuMDZ6IE02OS43NjgsMzYuODkxIGMwLDEuNDQzLTEuMTc0LDIuNjE5LTIuNjE3LDIuNjE5Yy0wLjA2MSwwLTAuMTE4LDAuMDEzLTAuMTgsMC4wMTZjLTAuMDYtMC4wMDMtMC4xMTYtMC4wMTYtMC4xNzgtMC4wMTYgYy0xLjQ0MiwwLTIuNjE3LTEuMTc2LTIuNjE3LTIuNjE5YzAtMC4wNjktMC4wMTQtMC4xMzUtMC4wMi0wLjIwNGMwLjAwNi0wLjA2OCwwLjAyMS0wLjEzNiwwLjAyMS0wLjIwNyBjMC0xLjQ0MywxLjE3NC0yLjYxNywyLjYxNi0yLjYxN2MwLjA2MiwwLDAuMTE4LTAuMDE0LDAuMTc4LTAuMDE3YzAuMDYyLDAuMDA0LDAuMTE5LDAuMDE3LDAuMTgsMC4wMTcgYzEuNDQzLDAsMi42MTcsMS4xNzQsMi42MTcsMi42MTdjMCwwLjA3LDAuMDE2LDAuMTM2LDAuMDIxLDAuMjAyQzY5Ljc4MiwzNi43NTMsNjkuNzY4LDM2LjgxOSw2OS43NjgsMzYuODkxeiIvPiA8L2c+PC9zdmc+","SourceOn live map
Tell friends
8 minutes ago - 49°59′N 36°14′E
People in Ukraine's Kharkiv sleeping in the subway as battles rage above ground
https://t.co/ZA2ASCkLct
—
Jump to map
Kharkiv, Kharkiv Oblast
#Europe
Watch more
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Israel-Palestine
Rocket impact in Sderot earlier this evening
Show comments",False,49°59′N 36°14′E
1,009f0ab2-a00a-4399-9a0a-2a208751cdf4,The Kremlin: Putin and Macron discussed the war in Ukraine by phone,11 minutes ago,https://twitter.com/AlArabiya_Brk/status/1496950463962484744,2022-02-24 15:59:59.071739,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiM4MDE2MTUiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiNkNjU0MzEiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojYjUxYzFjIi8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cGF0aCBmaWxsPSIjRkZGRkZGIiBkPSJNNTYuNDM2LDUyLjkyNmMtMC43NDUsMC0xLjM1LTAuNjA0LTEuMzUtMS4zNTJjMC0zLjYxMS0yLjkzNy02LjU0Ny02LjU0OC02LjU0NyBjLTAuNzQ2LDAtMS4zNTEtMC42MDQtMS4zNTEtMS4zNTFjMC0wLjc0NSwwLjYwNC0xLjM1MSwxLjM1MS0xLjM1MWM1LjA5OCwwLDkuMjQ4LDQuMTUsOS4yNDgsOS4yNDkgQzU3Ljc4Niw1Mi4zMjEsNTcuMTgyLDUyLjkyNiw1Ni40MzYsNTIuOTI2eiIvPiA8cGF0aCBmaWxsPSIjRkZGRkZGIiBkPSJNNjMuODM2LDUzLjAzNmMtMC43NDUsMC0xLjM1LTAuNjA0LTEuMzUtMS4zNTJjMC03Ljc1MS02LjMwNi0xNC4wNTctMTQuMDU5LTE0LjA1NyBjLTAuNzQ2LDAtMS4zNS0wLjYwNS0xLjM1LTEuMzUxYzAtMC43NDYsMC42MDQtMS4zNTEsMS4zNS0xLjM1MWM5LjI0MiwwLDE2Ljc1OSw3LjUxOCwxNi43NTksMTYuNzU5IEM2NS4xODgsNTIuNDMxLDY0LjU4Miw1My4wMzYsNjMuODM2LDUzLjAzNnoiLz4gPHBhdGggZmlsbD0iI0ZGRkZGRiIgZD0iTTcxLjA5LDUyLjg1M2MtMC43NDYsMC0xLjM1MS0wLjYwNC0xLjM1MS0xLjM1MWMwLTExLjY1LTkuNDc5LTIxLjEyOC0yMS4xMjgtMjEuMTI4IGMtMC43NDYsMC0xLjM1MS0wLjYwMy0xLjM1MS0xLjM1YzAtMC43NDcsMC42MDQtMS4zNTEsMS4zNTEtMS4zNTFjMTMuMTM4LDAsMjMuODI5LDEwLjY5LDIzLjgyOSwyMy44MjggQzcyLjQzOSw1Mi4yNDgsNzEuODM0LDUyLjg1Myw3MS4wOSw1Mi44NTN6Ii8+IDxwYXRoIGZpbGw9IiNGRkZGRkYiIGQ9Ik01OC40OTQsNzIuMDc3Yy02LjgzLDAtMTMuOTgxLTMuNTQtMjAuNjc5LTEwLjIzOGMtMTAuMjkzLTEwLjI5NS0xMi45OS0yMS40NjEtNy4zOTgtMzAuNjM3IGMxLjA1Mi0xLjcyOCwyLjg4NC0yLjc1OSw0Ljg5Ny0yLjc1OWMxLjUwNiwwLDIuOTIyLDAuNTg4LDMuOTksMS42NThsMi4xMTIsMi4xMTFjMS44MTYsMS44MTUsMi4xODEsNC42MzUsMC44ODYsNi44NTUgYy0yLjg4NSw0Ljk0My0xLjg4LDExLjYyOCwyLjM4OSwxNS44OTVjMi41NDYsMi41NDcsNi4wNzYsNC4wMDcsOS42ODUsNC4wMDdjMi4yNSwwLDQuMzk4LTAuNTYsNi4yMS0xLjYxNyBjMC44NjUtMC41MDUsMS44NTMtMC43NzEsMi44NTUtMC43NzFjMS41MTEsMCwyLjkzNCwwLjU4OSw0LjAwMiwxLjY1NmwyLjExMiwyLjExMmMxLjIzNCwxLjIzMywxLjgyMywyLjkzOCwxLjYxNCw0LjY3IGMtMC4yMDksMS43NTUtMS4yLDMuMjk0LTIuNzE4LDQuMjE4QzY1LjM1Niw3MS4xMjEsNjIuMDA3LDcyLjA3Nyw1OC40OTQsNzIuMDc3eiIvPiA8L2c+PC9zdmc+",,False,
