,uid,title,time,source,time-capture,sc,domain,full-text,sc2,geo
0,cad42c80-402a-4e71-92c8-b7310852fcb8,"Ukraine Foreign Minister @DmytroKuleba says it'll be his mission in life to bring to justice the Russians responsible for atrocities committed in Kyiv region. ""It was impossible to imagine this in the XXI century, but it is happening before our eyes. Russia is worse than ISIS",14 minutes ago,https://twitter.com/ChristopherJM/status/1510590211692052485,2022-04-03 09:23:20.636869,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cGF0aCBmaWxsPSJub25lIiBkPSJNNjMuMjE1LDM2Ljc3N2MtMS4xMjgsMC4xODUtMS4zNjQsNC42MDMtMC41MzgsOS44NDhjMC44NDQsNS4yNiwyLjQyOSw5LjM5MywzLjU1OCw5LjIwOCBjMS4xMy0wLjE4NiwxLjM2Ni00LjU4NywwLjU0MS05Ljg0OEM2NS45NDcsNDAuNzIzLDY0LjM0NiwzNi42MDgsNjMuMjE1LDM2Ljc3N3oiLz4gPHBhdGggZmlsbD0iI0ZGRkZGRiIgZD0iTTc1LjIyNiw0NC40Yy0xLjcyMi0xMC44NzctNi41NDUtMTkuMTczLTEwLjc0MS0xOC40OThjLTEuODU3LDAuMjg1LTMuMjksMi4yNTgtNC4xNjgsNS4yOTQgYy0xLjgyLDEuNjE4LTQuNjAzLDMuMzA0LTcuNzcxLDQuOTA2bDEuNzM0LDMuNTQxbDUuMzk2LTIuNjQ3Yy0wLjE1MiwwLjc0My0wLjI3LDEuNTg1LTAuMzM3LDIuNDk4IGMwLjAxNywyLjMwOSwwLjIxOSw0Ljc3MSwwLjYyMyw3LjMxN2MwLjQzOSwyLjc5OSwxLjA4LDUuNDMsMS44NzMsNy43NTdjMC4yNzEsMC41NTYsMC41NTgsMS4wNDYsMC44NTksMS40NjdsLTcuMjgyLTAuNjkgbC0wLjMwNCwzLjIzNmMzLjY1OCwwLjQyMyw3LjA0NiwxLjE4LDkuNjYxLDIuNDI5YzEuODU0LDIuOTY4LDMuOTY0LDQuNjQsNS45NSw0LjMxN0M3NC45MjIsNjQuNjY5LDc2Ljk0NCw1NS4yOTMsNzUuMjI2LDQ0LjR6IE02Ni4yMzQsNTUuODMyYy0xLjEyOSwwLjE4Ni0yLjcxNC0zLjk0Ny0zLjU1OC05LjIwOGMtMC44MjYtNS4yNDUtMC41OS05LjY2MywwLjUzOC05Ljg0OGMxLjEzMS0wLjE2OCwyLjczMiwzLjk0NiwzLjU2MSw5LjIwOCBDNjcuNjAxLDUxLjI0NSw2Ny4zNjQsNTUuNjQ2LDY2LjIzNCw1NS44MzJ6Ii8+IDxwYXRoIGZpbGw9IiNGRkZGRkYiIGQ9Ik01MS4xNiwzNi43NzhsLTEuNTUyLDAuNzQyYy03Ljg3NCwzLjY0Mi0xNi45MTMsNi42NjEtMTkuNDI2LDcuNTA0Yy0wLjAzMywwLjAxNy0wLjA1LDAuMDE3LTAuMDg0LDAuMDE3IGMtMy40NzMsMC41NC01LjkzNiwzLjUyNC01LjkzNiw2LjkzYzAsMC4zNTQsMC4wMzQsMC43MjYsMC4wODQsMS4wOTdjMC42MDgsMy43NzcsNC4xMzEsNi4zOSw3LjkyNSw1Ljg1MWwxLjYwMyw5LjI2IGMwLjI4NiwwLjgwOCwxLjAyOCwxLjkzOCwyLjcxNCwxLjY1MWwzLjMzOS0wLjI4N2MxLjY4Ni0wLjMwNCwxLjkzOS0xLjAyOSwxLjY1My0yLjcxNmwtMS40LTguNTgyIGMzLjk5Ni0wLjE4OCw4Ljg1My0wLjI1NiwxMy40NTcsMC4xNjdjMC41MjEsMC4wNTEsMS4wNjMsMC4xMDMsMS41NjcsMC4xNjlsMC4zMDQtMy4yMzZsLTEuNTY3LTAuMTUyTDQzLjQ3LDU0LjIxMyBjMCwwLDAsMC0wLjAxOCwwLjAwMWMtMS4wOTYsMC4wODUtMi4xNzYtMC41NC0yLjktMS41ODRjLTAuNDM4LTAuNjI1LTAuNzU4LTEuNC0wLjg5NC0yLjI2MWMtMC4wNS0wLjMwMy0wLjA2Ni0wLjU4OC0wLjA2Ni0wLjg3NSBjMC0wLjQ1NiwwLjA1LTAuODk0LDAuMTY3LTEuMjk5YzAuMzU1LTEuMzk5LDEuMjgyLTIuNDQ1LDIuNDk3LTIuNjQ4bDkuMTA2LTQuNDdsMi45MTctMS40MzNsLTEuNzM2LTMuNTQxIEM1Mi4wODgsMzYuMzIzLDUxLjYzMSwzNi41Niw1MS4xNiwzNi43Nzh6Ii8+IDwvZz48L3N2Zz4=","SourceOn live map
Tell friends
14 minutes ago - 50°27′N 30°31′E
Ukraine Foreign Minister @DmytroKuleba says it'll be his mission in life to bring to justice the Russians responsible for atrocities committed in Kyiv region. ""It was impossible to imagine this in the XXI century, but it is happening before our eyes. Russia is worse than ISIS
Jump to map
Kyiv, Kyiv city
#Russia
Other languages:
Русский Українська Белару́ская Polski
Watch more
Ukraine
Kharkiv: air strike targeted a building at Mirnositska street
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Show comments",False,50°27′N 30°31′E
1,02ff314a-6395-4af1-b932-13a69704202c,"Annalena Baerbock, Germany's foreign minister, has accused Russia of ""war crimes"" over dead civilians bound and dead left on the streets of Bucha",32 minutes ago,https://twitter.com/dwnews/status/1510592560498192391,2022-04-03 09:23:25.219902,False,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgeG1sbnM6eGxpbms9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkveGxpbmsiIHg9IjBweCIgeT0iMHB4IiB3aWR0aD0iMTAwcHgiIGhlaWdodD0iMTAwcHgiIHZpZXdCb3g9IjAgMCAxMDAgMTAwIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCAxMDAgMTAwIiB4bWw6c3BhY2U9InByZXNlcnZlIj48Y2lyY2xlIGZpbGw9IiMxYzQzN2EiIGN4PSI1MSIgY3k9IjUyIiByPSI0MS41Ii8+PGxpbmVhckdyYWRpZW50IGlkPSJTVkdJRF8xXyIgZ3JhZGllbnRVbml0cz0idXNlclNwYWNlT25Vc2UiIHgxPSI0OS45OTk1IiB5MT0iOC41IiB4Mj0iNDkuOTk5NSIgeTI9IjkxLjUwMDUiPjxzdG9wICBvZmZzZXQ9IjAiIHN0eWxlPSJzdG9wLWNvbG9yOiMxYjZiZDkiLz48c3RvcCAgb2Zmc2V0PSIxIiBzdHlsZT0ic3RvcC1jb2xvcjojMjI1N2E1Ii8+PC9saW5lYXJHcmFkaWVudD48Y2lyY2xlIGZpbGw9InVybCgjU1ZHSURfMV8pIiBjeD0iNTAiIGN5PSI1MCIgcj0iNDEuNSIvPjxnPiA8cGF0aCBmaWxsPSJub25lIiBkPSJNNjMuMjE1LDM2Ljc3N2MtMS4xMjgsMC4xODUtMS4zNjQsNC42MDMtMC41MzgsOS44NDhjMC44NDQsNS4yNiwyLjQyOSw5LjM5MywzLjU1OCw5LjIwOCBjMS4xMy0wLjE4NiwxLjM2Ni00LjU4NywwLjU0MS05Ljg0OEM2NS45NDcsNDAuNzIzLDY0LjM0NiwzNi42MDgsNjMuMjE1LDM2Ljc3N3oiLz4gPHBhdGggZmlsbD0iI0ZGRkZGRiIgZD0iTTc1LjIyNiw0NC40Yy0xLjcyMi0xMC44NzctNi41NDUtMTkuMTczLTEwLjc0MS0xOC40OThjLTEuODU3LDAuMjg1LTMuMjksMi4yNTgtNC4xNjgsNS4yOTQgYy0xLjgyLDEuNjE4LTQuNjAzLDMuMzA0LTcuNzcxLDQuOTA2bDEuNzM0LDMuNTQxbDUuMzk2LTIuNjQ3Yy0wLjE1MiwwLjc0My0wLjI3LDEuNTg1LTAuMzM3LDIuNDk4IGMwLjAxNywyLjMwOSwwLjIxOSw0Ljc3MSwwLjYyMyw3LjMxN2MwLjQzOSwyLjc5OSwxLjA4LDUuNDMsMS44NzMsNy43NTdjMC4yNzEsMC41NTYsMC41NTgsMS4wNDYsMC44NTksMS40NjdsLTcuMjgyLTAuNjkgbC0wLjMwNCwzLjIzNmMzLjY1OCwwLjQyMyw3LjA0NiwxLjE4LDkuNjYxLDIuNDI5YzEuODU0LDIuOTY4LDMuOTY0LDQuNjQsNS45NSw0LjMxN0M3NC45MjIsNjQuNjY5LDc2Ljk0NCw1NS4yOTMsNzUuMjI2LDQ0LjR6IE02Ni4yMzQsNTUuODMyYy0xLjEyOSwwLjE4Ni0yLjcxNC0zLjk0Ny0zLjU1OC05LjIwOGMtMC44MjYtNS4yNDUtMC41OS05LjY2MywwLjUzOC05Ljg0OGMxLjEzMS0wLjE2OCwyLjczMiwzLjk0NiwzLjU2MSw5LjIwOCBDNjcuNjAxLDUxLjI0NSw2Ny4zNjQsNTUuNjQ2LDY2LjIzNCw1NS44MzJ6Ii8+IDxwYXRoIGZpbGw9IiNGRkZGRkYiIGQ9Ik01MS4xNiwzNi43NzhsLTEuNTUyLDAuNzQyYy03Ljg3NCwzLjY0Mi0xNi45MTMsNi42NjEtMTkuNDI2LDcuNTA0Yy0wLjAzMywwLjAxNy0wLjA1LDAuMDE3LTAuMDg0LDAuMDE3IGMtMy40NzMsMC41NC01LjkzNiwzLjUyNC01LjkzNiw2LjkzYzAsMC4zNTQsMC4wMzQsMC43MjYsMC4wODQsMS4wOTdjMC42MDgsMy43NzcsNC4xMzEsNi4zOSw3LjkyNSw1Ljg1MWwxLjYwMyw5LjI2IGMwLjI4NiwwLjgwOCwxLjAyOCwxLjkzOCwyLjcxNCwxLjY1MWwzLjMzOS0wLjI4N2MxLjY4Ni0wLjMwNCwxLjkzOS0xLjAyOSwxLjY1My0yLjcxNmwtMS40LTguNTgyIGMzLjk5Ni0wLjE4OCw4Ljg1My0wLjI1NiwxMy40NTcsMC4xNjdjMC41MjEsMC4wNTEsMS4wNjMsMC4xMDMsMS41NjcsMC4xNjlsMC4zMDQtMy4yMzZsLTEuNTY3LTAuMTUyTDQzLjQ3LDU0LjIxMyBjMCwwLDAsMC0wLjAxOCwwLjAwMWMtMS4wOTYsMC4wODUtMi4xNzYtMC41NC0yLjktMS41ODRjLTAuNDM4LTAuNjI1LTAuNzU4LTEuNC0wLjg5NC0yLjI2MWMtMC4wNS0wLjMwMy0wLjA2Ni0wLjU4OC0wLjA2Ni0wLjg3NSBjMC0wLjQ1NiwwLjA1LTAuODk0LDAuMTY3LTEuMjk5YzAuMzU1LTEuMzk5LDEuMjgyLTIuNDQ1LDIuNDk3LTIuNjQ4bDkuMTA2LTQuNDdsMi45MTctMS40MzNsLTEuNzM2LTMuNTQxIEM1Mi4wODgsMzYuMzIzLDUxLjYzMSwzNi41Niw1MS4xNiwzNi43Nzh6Ii8+IDwvZz48L3N2Zz4=","SourceOn live map
Tell friends
32 minutes ago - 52°30′N 13°23′E
Annalena Baerbock, Germany's foreign minister, has accused Russia of ""war crimes"" over dead civilians bound and dead left on the streets of Bucha
Jump to map
Berlin, Berlin
#Germany#Russia
Other languages:
Русский Українська Белару́ская Polski
Watch more
Ukraine
Kharkiv: air strike targeted a building at Mirnositska street
Syria
Russian warplanes bombard the areas of ""Tal Al-Khader, Tardin and Jabal Barzeh"" in the northern countryside of Lattakia with missiles
Iran
1 of 13 Iranian boats harassing U.S. warships in Strait of Hormuz today: 5th Fleet
Show comments",False,52°30′N 13°23′E
