,uid,article_author,article_date,article_text,article_url
0,37932886-0456-41ac-892e-dc642b0c6f2e,['Rfe Rl'],,"The power of photojournalism lies in the storyteller's ability to capture fleeting moments that have lasting impact. It is also a profession fraught with peril, especially in times of war. Ukrainian photojournalist and documentarian Maksim Levin was killed while covering Russia’s invasion of Ukraine.*A Ukrainian presidential aide said that Levin went missing on March 13 in the Kyiv region and that his body was found near the village of Huta Mezhyhirska on April 1. Ukraine's Prosecutor-General's Office said that, according to, Levin “was fatally shot twice with small-arms fire, by servicemen"" of the Russian military. Levin, 40, leaves behind his wife and four children.Most of Levin's images centered on conflict, yet he also had a keen eye for capturing quiet moments that linger: A villager moving his animals to safety from an encroaching fire, a mourner in tears at a cemetery, or a simple photo of a woman giving a soldier a flower in appreciation.Here's a look at some of the stories Levin documented with his camera.*A previous version of this gallery said that Levin was a contributor to RFE/RL. He was not.",https://www.rferl.org/a/maks-levin-retrospective-ukraine-war/31784974.html
1,37932886-0456-41ac-892e-dc642b0c6f2e,[],,"The enterprise's territory is regularly bombarded. Damage can't be assessed for now

The Azovstal Iron & Steel Works (Azovstal) in Mariupol, a part of Metinvest Holding, continues to be under shelling by Russian troops. The enterprise is currently under control of the Ukrainian army.

As the representative of the Azov Regiment, Vladislav Sobolevsky, reported two weeks ago, during a live broadcast, the territory of the plant is under shelling, just like whole Mariupol.

Numerous Russian media also report on the control of the plant by the Ukrainian military. A video posted on April 3 shows a tactical quadcopter inspecting what is supposed to be the site of the plant.

At the same time, it is not possible to assess the extent of damage, and the amount of damage at the moment. On March 20, Enver Tskitishvili, the Director General of Azovstal, stated that it was too early to say that the plant could be stopped forever.

“You can’t say that the Azovstal was stopped forever. We will return to the city, rebuild, and revive the plant. It will continue to work the same way, and bring glory to Ukraine, as it always has been,” added he.

The plant was switched into hot conservation mode after the war began.

According to the latest data, in January 2022, Azovstal increased the output of rolled steel products by 12%, to 330 thousand tons per month.

In 2021, Azovstal increased the output of rolled steel products by 4.1% compared to 2020, to 4.1 million tons. Crude steel production increased by 3.5% y-o-y, to 4.34 million tons. Pig iron output remained unchanged compared to 2020 – 3.8 million tons.

The plant’s structure of production in 2020 is the following: 70% of the company’s products are slabs, 18% are steel plates, up to 9% are shaped products.

Azovstal ‘s export structure in 2020 was as follows: 46% of products were shipped to Italy, 11% to Turkey, 6% to the UK, 5% to China.

Azovstal steel plates are used in shipbuilding, power and special machine building, bridge building, production of large-diameter pipes for main gas and oil pipelines.

Azovstal is a full-cycle enterprise, part of Metinvest, the enterprise produces flat, long, and shaped products, and also has coke production facilities.",https://gmk.center/en/news/azovstal-in-mariupol-stays-under-control-of-ukrainian-army/
2,37932886-0456-41ac-892e-dc642b0c6f2e,[],2022-04-05 07:35:13+00:00,"After 39 days of Russia’s invasion of Ukraine, experts from the Center for Eastern Studies reported that Russian subversive and reconnaissance groups aimed at tracking down and eliminating Ukrainian military units remained in the north of Ukraine. The OSW emphasizes that the Russians’ withdrawal from the blockade and occupation of Kiev is temporary.

Russian forces have left the Kiev and Chernihiv Oblasts, and are also starting to withdraw from the Sumy Oblast. Russian sabotage and reconnaissance groups aimed at tracking down and eliminating Ukrainian military troops remained in the north of the country, experts from the Center for Eastern Studies (OSW) inform after 39 days of Russia’s invasion of Ukraine.

The withdrawal of the Russians from the blockade and occupation of the capital is temporary, say Andrzej Wilk and Piotr Żochowski from OSW. As they add, the forces operating so far in the Kiev and Chernihiv region are being transferred to the Russian Belgorod region bordering on the Kharkiv region.

Chernihiv. A fragment of a Russian rocket in a garden on a private property (03/31/2022)PAP / EPA / NATALIIA DUBROVSKA

According to the Ukrainian general staff, Russia has problems with replenishing losses and the soldiers’ refusal to take part in the war against Ukraine. In Krasnodar Krai, Dagestan, Ingushetia and Kalmykia, and in the Perm Oblast, the mobilization of reservists, who have been equipped with stored weapons for over 30 years, is to be carried out.

As noted by OSW experts, spoils of war are the main motivating factor for service, because in Russia there is a belief that war participants can improve their financial situation.

OSW: Mariupol’s defenders hold their positions

As analysts explain, the military situation in the south and east of the country has not changed. Bombing and shelling of civilian and military facilities are underway. Kharkiv is still being blocked, and the enemy is also trying to attack south of Iziumu.

In Donbas, the defenders rescued seven attacks, and the main clashes are Rubiżne and Popasna in the Luhansk region and Avdiyivka, Marjinka, Krasnohorivka and Trojićke in the Donetsk region. In addition, according to reports, a hostile attack is being prepared on the village of Wełyka Nowosika on the border with the Dnipropetrovsk and Zaporizhia oblasts.

Destroyed theater in MariupolReuters

Mariupol’s defenders hold positions in the center, industrial area and port. Local military-civilian administrations are calling on the population to evacuate, and the appeal concerns all residents of the Donetsk and Luhansk oblasts, and in the Kharkiv oblast – the Lozov railway junction, which is at risk of missile attacks. The aggressor intensified the shelling of Ukrainian positions and civilian facilities in the Mykolaiv Oblast and on the border of the Kherson and Dnipropetrovsk Oblasts.

Russia is firing at Ukraine’s strategic infrastructure

The Russians intensified missile fire on strategic infrastructure facilities, partially repeating attacks on previously attacked targets. The Ukrainian side restricts access to detailed information about the targets and consequences of the attacks. It was only confirmed that they were the closed refinery and crude oil storage facilities in Odessa and the fuel storage facilities in Ternopil.

Most likely, similar objects were also shelled in the Rivne and Mikołajów districts. In addition, the military infrastructure in Wasylków in the Kiev region (probably the air defense command center at the local airport) and Mikołajów (probably used as a heliport for the Bałowne airport) were attacked, analysts explain.

According to the mayor of Chernihiv, the center is 70 percent destroyed. Mer Iziumu estimates the level of damage at 80%. There is no electricity, water or heating in the city, and no rough estimate of the civilian casualties can be given. The number of people who got stuck in the city and surrounding villages is estimated at 15-20 thousand. The authorities of the Donetsk region called on the inhabitants to evacuate the region in connection with the possible escalation of hostilities in the near future.

OSW on Russian information and psychological operations

The State Service for Special Communications of Ukraine does not confirm reports that the occupiers eavesdropped on Ukrainian conversations. All the statements turned out to be false and are part of information and psychological operations, add OSW experts.

According to analysts, they were intended to intimidate citizens, as well as to force them to stop providing their own military with data about the places where enemy equipment was moving. Previously, residents were falsely informed from anonymous numbers that they should turn off their phones, as they increase the accuracy of missile strikes.

In Ukraine, as a result of hostilities, 23,000 people were destroyed. km of roads and 273 bridges and viaducts. The losses are estimated at UAH 874 billion (USD 30 billion). The greatest damage was recorded in the east, south and north.

The missile attacks continued by the Russians continue to increase losses in the road infrastructure. The Ministry of Development of Hromad estimates that 6,800 were destroyed in the country. residential buildings. The cost of reconstruction in the initial period is estimated at tens of billions, and the total cost at hundreds of billions of dollars, summarize OSW experts.

WATCH LIVE ON TVN24 GO:",https://www.archyworldys.com/russias-attack-on-ukraine-analysis-of-the-center-for-eastern-studies-the-liberated-chernihiv-oblast-russian-saboteurs-are-operating-in-the-north-of-the-country/
3,37932886-0456-41ac-892e-dc642b0c6f2e,[],,"🇺🇦 Загальні бойові втрати противника з 24.02 по 08.04 орієнтовно склали / 🇬🇧 The total combat losses of the enemy from 24.02 to 08.04 were approximately:

особо...вого складу / personnel - близько/ about 19000 осіб,

танків / tanks ‒ 700 од,

бойових броньованих машин / APV ‒ 1891 од,

артилерійських систем / artillery systems – 333 од,

РСЗВ / MLRS - 108 од,

засоби ППО / Anti-aircraft warfare systems - 55 од,

літаків / aircraft – 150 од,

гелікоптерів / helicopters – 135 од,

автомобільної техніки / vehicles - 1361 од,

кораблі /катери / boats / cutters - 7 од,

цистерн з ПММ / fuel tanks - 76,

БПЛА оперативно-тактичного рівня / UAV operational-tactical level - 112.

Спеціальна техніка / special equipment - 25.

Пускові установки ОТРК/ТРК / mobile SRBM system - 4.

Дані уточнюються. Підрахунок ускладнюється високою інтенсивністю бойових дій. / Data are being updated. The calculation is complicated by the high intensity of hostilities.

Бий окупанта! Разом переможемо!

Strike the occupier! Let's win together!

#stoprussia",https://business.facebook.com/58OMPBr/posts/?ref=page_internal
4,37932886-0456-41ac-892e-dc642b0c6f2e,[],,,https://www.ukraina.com.pl/
5,37932886-0456-41ac-892e-dc642b0c6f2e,[],,"Venäjä pyrkii huijaamaan, älä ala Putinin pikku apulaiseksi

https://www.is.fi/kotimaa/art-2000008746707.html Venäjän vaikuttamistoimet näin Nato keskustelujen ja pohdintojen aikana ovat mittavat. Siellä ne Venäjällä nauraa maha kippurassa, kun somehörhöt ja keskustelupalstojen urpot asiantuntijat levittävät feikkivideoita Suomessa. Ihan ilmaiseksi ryhtyvät Putinin pikkuapulaisiksi. Koettakaa nyt aikuiset ihmiset erottaa feikkivideot. Ei tiedossa kuvauspaikkaa, ei aikaa, ei niinkuin mitään muuta kuin hämärä video, ja tietysti kaikki haluaa ""olla ensimmäisenä"" jakamassa huhhuhhuh-tietoa. On siis saatu lumipallo ryssän toimesta liikkeelle ja sehän kasvaa , kun kaikki haluaa hännät heiluen olla tietotoimiston asiantuntijoita.",https://keskustelu.suomi24.fi/t/12459986/propaganda-sallittu
6,37932886-0456-41ac-892e-dc642b0c6f2e,[],,,https://nv.ua/sitemap_2022-04-05.html
